metric,value,source_url,access_date,data_status
app_store_id,6477772996,https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
storefront,IN (India),https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
title,Ticketalay App - App Store,https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
seller_name,PAC THEATRE ENTERTAINMENT PRIVATE LIMITED,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
artist_name,PAC THEATRE,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
primary_genre,Entertainment,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
price_and_currency,0.0 INR,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
release_date,2024-02-23,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
current_version,1.0.11 (2025-12-29),https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
average_user_rating,2.62,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
rating_count,45,https://itunes.apple.com/lookup?id=6477772996&country=in,2026-08-23,REAL_EXTRACT
app_size,42.1 MB,https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
languages,English,https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
copyright,© 2024 PAC Theatre Entertainment Pvt Ltd,https://apps.apple.com/in/app/ticketalay/id6477772996,2026-08-23,REAL_EXTRACT
