country,indicator,value,unit,reference_period,source_url,access_date,data_status,note
Luxembourg,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",48.5,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,highest of all countries in the dataset
Switzerland,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",46.6,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Denmark,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",45.7,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Norway,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",41.8,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Estonia,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",39.8,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
France,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",22.2,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Italy,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",19.1,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Poland,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",18.7,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Slovakia,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",14.4,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Bulgaria,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",10.7,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,lowest among EU member states shown
Romania,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",10.4,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,
Turkiye,"Live performance attendance (theatre, concerts, ballet), at least once in 12 months",6.2,% of population 16+,2022,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ilc_scp03?format=JSON&lang=en&time=2022&acl00=AC522A&frequenc=GE1&isced11=TOTAL&age=Y_GE16&sex=T&unit=PC,2026-08-23,REAL_EXTRACT,lowest overall; non-EU candidate country in the dataset
Luxembourg,Live performance attendance frequency: 1-3 times in 12 months,41.4,% of population 16+,2022,https://ec.europa.eu/eurostat/databrowser/view/ilc_scp03/default/table?lang=en,2026-08-23,REAL_EXTRACT,frequency breakdown for Luxembourg
Luxembourg,Live performance attendance frequency: at least 4 times in 12 months,7.1,% of population 16+,2022,https://ec.europa.eu/eurostat/databrowser/view/ilc_scp03/default/table?lang=en,2026-08-23,REAL_EXTRACT,
Luxembourg,Did not attend a live performance in 12 months,51.5,% of population 16+,2022,https://ec.europa.eu/eurostat/databrowser/view/ilc_scp03/default/table?lang=en,2026-08-23,REAL_EXTRACT,
