metric,value,source_url,access_date,data_status
package_id,com.ticketalay.app,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
title,Ticketalay - Apps on Google Play,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
developer,PAC Theatre Entertainment Pvt Ltd,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
downloads_band,100K+,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_value,3.36,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_count,386,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_histogram_5star,122,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_histogram_4star,26,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_histogram_3star,15,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_histogram_2star,26,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
rating_histogram_1star,193,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
price_and_currency,0 INR (free app; 'All prices include GST' footer note),https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
contains_ads,true,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
category,Entertainment,https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
updated_on,"Dec 26, 2025",https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
developer_address,"602 B Resham 7-bunglows, Off J P Road Andheri West, Vesava, Mumbai, Maharashtra 400061, India",https://play.google.com/store/apps/details?id=com.ticketalay.app,2026-08-23,REAL_EXTRACT
